2026-05-21 14:44:32,945 [INFO] paper-strat: [AKSHARE] 订阅 002709.SZSE (累计 21 只)
2026-05-21 14:44:32,947 [INFO] paper-strat: [MainEngine] 订阅行情 -> AKSHARE：SubscribeRequest(symbol='002149', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 14:44:32,948 [INFO] paper-strat: [AKSHARE] 订阅 002149.SZSE (累计 22 只)
2026-05-21 14:44:33,908 [INFO] paper-strat: 已加载策略类: ['AtrRsiStrategy', 'BollChannelStrategy', 'DoubleMaStrategy', 'DualThrustStrategy', 'KingKeltnerStrategy', 'MultiSignalStrategy', 'MultiTimeframeStrategy', 'TestStrategy', 'TurtleSignalStrategy', 'ThresholdAlertStrategy']
2026-05-21 14:44:33,937 [INFO] paper-strat: ✓ 已加载 22 个 ThresholdAlertStrategy 实例
2026-05-21 14:44:33,938 [INFO] paper-strat: 📊 拉取 5 日均量 22 只...
2026-05-21 14:44:34,166 [INFO] paper-strat: 📊 TICK 000899.SZSE 赣能股份 12.91 (-3.80%)
2026-05-21 14:44:34,167 [INFO] paper-strat: 📊 TICK 301120.SZSE 新特电气 23.06 (-5.57%)
2026-05-21 14:44:34,169 [INFO] paper-strat: 📊 TICK 002156.SZSE 通富微电 62.02 (-0.42%)
2026-05-21 14:44:34,169 [INFO] paper-strat: 📊 TICK 002709.SZSE 天赐材料 57.90 (-0.17%)
2026-05-21 14:44:34,170 [INFO] paper-strat: 📊 TICK 601222.SSE 林洋能源 6.34 (-4.37%)
2026-05-21 14:44:34,171 [INFO] paper-strat: 📊 TICK 002453.SZSE 华软科技 5.70 (-5.63%)
2026-05-21 14:44:34,171 [INFO] paper-strat: 📊 TICK 603757.SSE 大元泵业 59.85 (-10.00%)
2026-05-21 14:44:34,171 [INFO] paper-strat: 📊 TICK 605006.SSE 山东玻纤 14.29 (-0.56%)
2026-05-21 14:44:34,172 [INFO] paper-strat: 📊 TICK 301179.SZSE 泽宇智能 24.64 (-7.02%)
2026-05-21 14:44:34,172 [INFO] paper-strat: 📊 TICK 600130.SSE 波导股份 5.49 (-10.00%)
2026-05-21 14:44:34,173 [INFO] paper-strat: 📊 TICK 000600.SZSE 建投能源 10.15 (-0.10%)
2026-05-21 14:44:34,173 [INFO] paper-strat: 📊 TICK 002149.SZSE 西部材料 69.71 (+0.90%)
2026-05-21 14:44:34,174 [INFO] paper-strat: 📊 TICK 600310.SSE 广西能源 5.12 (+0.99%)
2026-05-21 14:44:34,174 [INFO] paper-strat: 📊 TICK 001896.SZSE 豫能控股 16.18 (+8.74%)
2026-05-21 14:44:34,174 [INFO] paper-strat: 📊 TICK 603178.SSE 圣龙股份 19.79 (-7.44%)
2026-05-21 14:44:34,176 [INFO] paper-strat: 📊 TICK 600330.SSE 天通股份 27.60 (-3.87%)
2026-05-21 14:44:34,176 [INFO] paper-strat: 📊 TICK 002067.SZSE 景兴纸业 5.23 (+2.75%)
2026-05-21 14:44:34,176 [INFO] paper-strat: 📊 TICK 002428.SZSE 云南锗业 84.76 (-6.86%)
2026-05-21 14:44:34,178 [INFO] paper-strat: 📊 TICK 600863.SSE 华能蒙电 5.54 (+2.97%)
2026-05-21 14:44:34,178 [INFO] paper-strat: 📊 TICK 600021.SSE 上海电力 18.00 (-3.64%)
2026-05-21 14:44:34,178 [INFO] paper-strat: 📊 TICK 603986.SSE 兆易创新 432.79 (-2.75%)
2026-05-21 14:44:34,179 [INFO] paper-strat: 📊 TICK 603601.SSE 再升科技 17.69 (+0.51%)
2026-05-21 14:44:39,465 [INFO] paper-strat: 📊 TICK 301120.SZSE 新特电气 23.10 (-5.41%)
2026-05-21 14:44:39,466 [INFO] paper-strat: 📊 TICK 002709.SZSE 天赐材料 57.88 (-0.21%)
2026-05-21 14:44:39,467 [INFO] paper-strat: 📊 TICK 601222.SSE 林洋能源 6.35 (-4.22%)
2026-05-21 14:44:39,468 [INFO] paper-strat: 📊 TICK 002453.SZSE 华软科技 5.71 (-5.46%)
2026-05-21 14:44:39,469 [INFO] paper-strat: 📊 TICK 605006.SSE 山东玻纤 14.28 (-0.63%)
2026-05-21 14:44:39,469 [INFO] paper-strat: 📊 TICK 301179.SZSE 泽宇智能 24.65 (-6.98%)
2026-05-21 14:44:39,470 [INFO] paper-strat: 📊 TICK 002149.SZSE 西部材料 69.74 (+0.94%)
2026-05-21 14:44:39,470 [INFO] paper-strat: 📊 TICK 603178.SSE 圣龙股份 19.81 (-7.34%)
2026-05-21 14:44:39,472 [INFO] paper-strat: 📊 TICK 600330.SSE 天通股份 27.59 (-3.90%)
2026-05-21 14:44:39,472 [INFO] paper-strat: 📊 TICK 002428.SZSE 云南锗业 84.72 (-6.90%)
2026-05-21 14:44:39,473 [INFO] paper-strat: 📊 TICK 600021.SSE 上海电力 17.99 (-3.69%)
2026-05-21 14:44:39,473 [INFO] paper-strat: 📊 TICK 603986.SSE 兆易创新 432.66 (-2.78%)
2026-05-21 14:44:44,722 [INFO] paper-strat: 📊 TICK 000899.SZSE 赣能股份 12.92 (-3.73%)
2026-05-21 14:44:44,724 [INFO] paper-strat: 📊 TICK 301120.SZSE 新特电气 23.07 (-5.53%)
2026-05-21 14:44:44,724 [INFO] paper-strat: 📊 TICK 002709.SZSE 天赐材料 57.85 (-0.26%)
2026-05-21 14:44:44,725 [INFO] paper-strat: 📊 TICK 601222.SSE 林洋能源 6.34 (-4.37%)
2026-05-21 14:44:44,726 [INFO] paper-strat: 📊 TICK 002149.SZSE 西部材料 69.76 (+0.97%)
2026-05-21 14:44:44,726 [INFO] paper-strat: 📊 TICK 603178.SSE 圣龙股份 19.82 (-7.30%)
2026-05-21 14:44:44,728 [INFO] paper-strat: 📊 TICK 002067.SZSE 景兴纸业 5.24 (+2.95%)
2026-05-21 14:44:44,728 [INFO] paper-strat: 📊 TICK 002428.SZSE 云南锗业 84.71 (-6.91%)
2026-05-21 14:44:44,728 [INFO] paper-strat: 📊 TICK 603986.SSE 兆易创新 432.50 (-2.81%)
2026-05-21 14:44:49,975 [INFO] paper-strat: 📊 TICK 301120.SZSE 新特电气 23.09 (-5.45%)
2026-05-21 14:44:49,976 [INFO] paper-strat: 📊 TICK 002156.SZSE 通富微电 62.07 (-0.34%)
2026-05-21 14:44:49,976 [INFO] paper-strat: 📊 TICK 002709.SZSE 天赐材料 57.88 (-0.21%)
2026-05-21 14:44:49,977 [INFO] paper-strat: 📊 TICK 601222.SSE 林洋能源 6.35 (-4.22%)
2026-05-21 14:44:49,978 [INFO] paper-strat: 📊 TICK 002453.SZSE 华软科技 5.70 (-5.63%)
2026-05-21 14:44:49,978 [INFO] paper-strat: 📊 TICK 605006.SSE 山东玻纤 14.29 (-0.56%)
2026-05-21 14:44:49,978 [INFO] paper-strat: 📊 TICK 000600.SZSE 建投能源 10.16 (+0.00%)
2026-05-21 14:44:49,980 [INFO] paper-strat: 📊 TICK 600330.SSE 天通股份 27.60 (-3.87%)
2026-05-21 14:44:49,980 [INFO] paper-strat: 📊 TICK 600021.SSE 上海电力 17.98 (-3.75%)
2026-05-21 14:44:55,250 [INFO] paper-strat: 📊 TICK 000899.SZSE 赣能股份 12.93 (-3.65%)
2026-05-21 14:44:55,251 [INFO] paper-strat: 📊 TICK 301120.SZSE 新特电气 23.10 (-5.41%)
2026-05-21 14:44:55,253 [INFO] paper-strat: 📊 TICK 002156.SZSE 通富微电 62.03 (-0.40%)
2026-05-21 14:44:55,253 [INFO] paper-strat: 📊 TICK 002709.SZSE 天赐材料 57.93 (-0.12%)
2026-05-21 14:44:55,254 [INFO] paper-strat: 📊 TICK 601222.SSE 林洋能源 6.34 (-4.37%)
2026-05-21 14:44:55,255 [INFO] paper-strat: 📊 TICK 600310.SSE 广西能源 5.13 (+1.18%)
2026-05-21 14:44:55,255 [INFO] paper-strat: 📊 TICK 001896.SZSE 豫能控股 16.19 (+8.80%)
2026-05-21 14:44:55,255 [INFO] paper-strat: 📊 TICK 600330.SSE 天通股份 27.61 (-3.83%)
