没有配置要使用的数据服务，请修改全局配置中的datafeed相关内容
2026-05-21 10:05:56.586 | INFO | CtaStrategy | 创建策略失败，找不到策略类ThresholdAlertStrategy
2026-05-21 10:05:56.586 | INFO | CtaStrategy | 创建策略失败，找不到策略类ThresholdAlertStrategy
2026-05-21 10:05:56.587 | INFO | CtaStrategy | 创建策略失败，找不到策略类ThresholdAlertStrategy
2026-05-21 10:05:56.587 | INFO | CtaStrategy | 创建策略失败，找不到策略类ThresholdAlertStrategy
2026-05-21 10:05:56.587 | INFO | CtaStrategy | 创建策略失败，找不到策略类ThresholdAlertStrategy
2026-05-21 10:05:56.589 | INFO | CtaStrategy | 创建策略失败，找不到策略类ThresholdAlertStrategy
2026-05-21 10:05:56.590 | INFO | CtaStrategy | 创建策略失败，找不到策略类ThresholdAlertStrategy
2026-05-21 10:05:56.590 | INFO | CtaStrategy | 创建策略失败，找不到策略类ThresholdAlertStrategy
2026-05-21 10:05:56.590 | INFO | CtaStrategy | 创建策略失败，找不到策略类ThresholdAlertStrategy
2026-05-21 10:05:56.591 | INFO | CtaStrategy | 创建策略失败，找不到策略类FusionStrategy
2026-05-21 10:05:56.592 | INFO | CtaStrategy | 创建策略失败，找不到策略类FusionStrategy
2026-05-21 10:05:56.592 | INFO | CtaStrategy | 创建策略失败，找不到策略类FusionStrategy
2026-05-21 10:05:56.593 | INFO | CtaStrategy | 创建策略失败，找不到策略类FusionStrategy
2026-05-21 10:05:56.593 | INFO | CtaStrategy | 创建策略失败，找不到策略类FusionStrategy
2026-05-21 10:05:56.594 | INFO | CtaStrategy | 创建策略失败，找不到策略类ThresholdAlertStrategy
2026-05-21 10:05:56.594 | INFO | CtaStrategy | 创建策略失败，找不到策略类ThresholdAlertStrategy
2026-05-21 10:05:56.594 | INFO | CtaStrategy | 创建策略失败，找不到策略类ThresholdAlertStrategy
2026-05-21 10:05:56.596 | INFO | CtaStrategy | 创建策略失败，找不到策略类ThresholdAlertStrategy
2026-05-21 10:05:56.596 | INFO | CtaStrategy | 创建策略失败，找不到策略类ThresholdAlertStrategy
2026-05-21 10:05:56.597 | INFO | CtaStrategy | 创建策略失败，找不到策略类ThresholdAlertStrategy
2026-05-21 10:05:56.597 | INFO | CtaStrategy | 创建策略失败，找不到策略类ThresholdAlertStrategy
2026-05-21 10:05:56.597 | INFO | CtaStrategy | 创建策略失败，找不到策略类ThresholdAlertStrategy
2026-05-21 10:05:56.598 | INFO | CtaStrategy | 创建策略失败，找不到策略类ThresholdAlertStrategy
2026-05-21 10:05:56.598 | INFO | CtaStrategy | 创建策略失败，找不到策略类ThresholdAlertStrategy
2026-05-21 10:05:56.598 | INFO | CtaStrategy | 创建策略失败，找不到策略类ThresholdAlertStrategy
2026-05-21 10:05:56.600 | INFO | CtaStrategy | 创建策略失败，找不到策略类ThresholdAlertStrategy
2026-05-21 10:05:56.601 | INFO | CtaStrategy | 创建策略失败，找不到策略类ThresholdAlertStrategy
2026-05-21 10:05:56.602 | INFO | CtaStrategy | 创建策略失败，找不到策略类ThresholdAlertStrategy
2026-05-21 10:05:56.602 | INFO | CtaStrategy | 创建策略失败，找不到策略类ThresholdAlertStrategy
2026-05-21 10:05:56.603 | INFO | CtaStrategy | 创建策略失败，找不到策略类ThresholdAlertStrategy
2026-05-21 10:05:56.603 | INFO | CtaStrategy | 创建策略失败，找不到策略类ThresholdAlertStrategy
2026-05-21 10:05:56.604 | INFO | CtaStrategy | 创建策略失败，找不到策略类ThresholdAlertStrategy
2026-05-21 10:05:56.604 | INFO | CtaStrategy | 创建策略失败，找不到策略类ThresholdAlertStrategy
2026-05-21 10:05:56.604 | INFO | CtaStrategy | 创建策略失败，找不到策略类ThresholdAlertStrategy
2026-05-21 10:05:56.606 | INFO | CtaStrategy | 创建策略失败，找不到策略类ThresholdAlertStrategy
2026-05-21 10:05:56.606 | INFO | CtaStrategy | 创建策略失败，找不到策略类ThresholdAlertStrategy
2026-05-21 10:05:56.607 | INFO | CtaStrategy | 创建策略失败，找不到策略类ThresholdAlertStrategy
2026-05-21 10:05:56.607 | INFO | CtaStrategy | CTA策略引擎初始化成功
2026-05-21 10:05:57.575 | INFO | CtaStrategy | thr_600330开始执行初始化
2026-05-21 10:05:57.576 | INFO | CtaStrategy | [thr_600330]  策略初始化: 600330.SSE
2026-05-21 10:05:57.576 | INFO | CtaStrategy | [thr_600330]    规则: buy_zone=0.0 buy_strong=0.0 trend_break=28.3 take_profit=35.0 auto=False
2026-05-21 10:05:57.578 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='600330', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 10:05:57.579 | INFO | AKSHARE | 订阅 600330.SSE (累计 23 只)
2026-05-21 10:05:57.579 | INFO | CtaStrategy | thr_600330初始化完成
2026-05-21 10:05:57.579 | INFO | CtaStrategy | thr_002256开始执行初始化
2026-05-21 10:05:57.581 | INFO | CtaStrategy | [thr_002256]  策略初始化: 002256.SZSE
2026-05-21 10:05:57.581 | INFO | CtaStrategy | [thr_002256]    规则: buy_zone=0.0 buy_strong=0.0 trend_break=4.71 take_profit=5.5 auto=False
2026-05-21 10:05:57.582 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='002256', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 10:05:57.583 | INFO | AKSHARE | 订阅 002256.SZSE (累计 23 只)
2026-05-21 10:05:57.584 | INFO | CtaStrategy | thr_002256初始化完成
2026-05-21 10:05:57.585 | INFO | CtaStrategy | thr_002453开始执行初始化
2026-05-21 10:05:57.585 | INFO | CtaStrategy | [thr_002453]  策略初始化: 002453.SZSE
2026-05-21 10:05:57.586 | INFO | CtaStrategy | [thr_002453]    规则: buy_zone=0.0 buy_strong=0.0 trend_break=5.95 take_profit=6.8 auto=False
2026-05-21 10:05:57.586 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='002453', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 10:05:57.588 | INFO | AKSHARE | 订阅 002453.SZSE (累计 23 只)
2026-05-21 10:05:57.589 | INFO | CtaStrategy | thr_002453初始化完成
2026-05-21 10:05:57.590 | INFO | CtaStrategy | thr_603601开始执行初始化
2026-05-21 10:05:57.590 | INFO | CtaStrategy | [thr_603601]  策略初始化: 603601.SSE
2026-05-21 10:05:57.591 | INFO | CtaStrategy | [thr_603601]    规则: buy_zone=0.0 buy_strong=0.0 trend_break=16.24 take_profit=19.5 auto=False
2026-05-21 10:05:57.591 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='603601', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 10:05:57.593 | INFO | AKSHARE | 订阅 603601.SSE (累计 23 只)
2026-05-21 10:05:57.595 | INFO | CtaStrategy | thr_603601初始化完成
2026-05-21 10:05:57.595 | INFO | CtaStrategy | thr_002428开始执行初始化
