没有配置要使用的数据服务，请修改全局配置中的datafeed相关内容
2026-05-21 11:41:24.703 | INFO | MainEngine | 连接登录 -> AKSHARE
2026-05-21 11:41:24.704 | INFO | AKSHARE | akshare gateway 启动（行情 only），轮询 5.0s
2026-05-21 11:41:26.706 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='600330', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 11:41:26.708 | INFO | AKSHARE | 订阅 600330.SSE (累计 1 只)
2026-05-21 11:41:26.710 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='002453', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 11:41:26.711 | INFO | AKSHARE | 订阅 002453.SZSE (累计 2 只)
2026-05-21 11:41:26.714 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='603601', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 11:41:26.716 | INFO | AKSHARE | 订阅 603601.SSE (累计 3 只)
2026-05-21 11:41:26.717 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='002428', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 11:41:26.718 | INFO | AKSHARE | 订阅 002428.SZSE (累计 4 只)
2026-05-21 11:41:26.719 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='600130', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 11:41:26.721 | INFO | AKSHARE | 订阅 600130.SSE (累计 5 只)
2026-05-21 11:41:26.722 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='603178', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 11:41:26.723 | INFO | AKSHARE | 订阅 603178.SSE (累计 6 只)
2026-05-21 11:41:26.724 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='603986', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 11:41:26.725 | INFO | AKSHARE | 订阅 603986.SSE (累计 7 只)
2026-05-21 11:41:26.725 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='301120', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 11:41:26.729 | INFO | AKSHARE | 订阅 301120.SZSE (累计 8 只)
2026-05-21 11:41:26.730 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='301179', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 11:41:26.730 | INFO | AKSHARE | 订阅 301179.SZSE (累计 9 只)
2026-05-21 11:41:26.734 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='600021', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 11:41:26.734 | INFO | AKSHARE | 订阅 600021.SSE (累计 10 只)
2026-05-21 11:41:26.735 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='000600', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 11:41:26.737 | INFO | AKSHARE | 订阅 000600.SZSE (累计 11 只)
  📡 获取实时行情（新浪）...
2026-05-21 11:41:26.739 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='002067', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 11:41:26.741 | INFO | AKSHARE | 订阅 002067.SZSE (累计 12 只)
2026-05-21 11:41:26.741 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='000899', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 11:41:26.743 | INFO | AKSHARE | 订阅 000899.SZSE (累计 13 只)
2026-05-21 11:41:26.744 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='001896', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 11:41:26.745 | INFO | AKSHARE | 订阅 001896.SZSE (累计 14 只)
2026-05-21 11:41:26.747 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='600310', exchange=<Exchange.SSE: 'SSE'>)
