没有配置要使用的数据服务，请修改全局配置中的datafeed相关内容
2026-05-21 13:35:02.455 | INFO | MainEngine | 连接登录 -> AKSHARE
2026-05-21 13:35:02.456 | INFO | AKSHARE | akshare gateway 启动（行情 only），轮询 5.0s
2026-05-21 13:35:04.457 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='600330', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 13:35:04.458 | INFO | AKSHARE | 订阅 600330.SSE (累计 1 只)
2026-05-21 13:35:04.459 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='002453', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 13:35:04.461 | INFO | AKSHARE | 订阅 002453.SZSE (累计 2 只)
2026-05-21 13:35:04.463 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='603601', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 13:35:04.465 | INFO | AKSHARE | 订阅 603601.SSE (累计 3 只)
2026-05-21 13:35:04.466 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='002428', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 13:35:04.468 | INFO | AKSHARE | 订阅 002428.SZSE (累计 4 只)
2026-05-21 13:35:04.469 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='600130', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 13:35:04.471 | INFO | AKSHARE | 订阅 600130.SSE (累计 5 只)
2026-05-21 13:35:04.472 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='603178', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 13:35:04.474 | INFO | AKSHARE | 订阅 603178.SSE (累计 6 只)
2026-05-21 13:35:04.475 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='603986', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 13:35:04.476 | INFO | AKSHARE | 订阅 603986.SSE (累计 7 只)
2026-05-21 13:35:04.477 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='301120', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 13:35:04.479 | INFO | AKSHARE | 订阅 301120.SZSE (累计 8 只)
2026-05-21 13:35:04.480 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='301179', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 13:35:04.481 | INFO | AKSHARE | 订阅 301179.SZSE (累计 9 只)
  📡 获取实时行情（新浪）...
2026-05-21 13:35:04.482 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='600021', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 13:35:04.482 | INFO | AKSHARE | 订阅 600021.SSE (累计 10 只)
2026-05-21 13:35:04.485 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='000600', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 13:35:04.486 | INFO | AKSHARE | 订阅 000600.SZSE (累计 11 只)
2026-05-21 13:35:04.488 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='002067', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 13:35:04.489 | INFO | AKSHARE | 订阅 002067.SZSE (累计 12 只)
2026-05-21 13:35:04.490 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='000899', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 13:35:04.491 | INFO | AKSHARE | 订阅 000899.SZSE (累计 13 只)
2026-05-21 13:35:04.492 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='001896', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 13:35:04.493 | INFO | AKSHARE | 订阅 001896.SZSE (累计 14 只)
2026-05-21 13:35:04.495 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='600310', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 13:35:04.496 | INFO | AKSHARE | 订阅 600310.SSE (累计 15 只)
2026-05-21 13:35:04.497 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='601222', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 13:35:04.498 | INFO | AKSHARE | 订阅 601222.SSE (累计 16 只)
2026-05-21 13:35:04.500 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='600863', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 13:35:04.500 | INFO | AKSHARE | 订阅 600863.SSE (累计 17 只)
2026-05-21 13:35:04.501 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='605006', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 13:35:04.504 | INFO | AKSHARE | 订阅 605006.SSE (累计 18 只)
2026-05-21 13:35:04.506 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='603757', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 13:35:04.506 | INFO | AKSHARE | 订阅 603757.SSE (累计 19 只)
2026-05-21 13:35:04.508 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='002156', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 13:35:04.508 | INFO | AKSHARE | 订阅 002156.SZSE (累计 20 只)
2026-05-21 13:35:04.510 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='002709', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 13:35:04.511 | INFO | AKSHARE | 订阅 002709.SZSE (累计 21 只)
2026-05-21 13:35:04.511 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='002149', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 13:35:04.513 | INFO | AKSHARE | 订阅 002149.SZSE (累计 22 只)
2026-05-21 13:35:04.514 | INFO | CtaStrategy | 创建策略失败，找不到策略类ThresholdAlertStrategy
2026-05-21 13:35:04.515 | INFO | CtaStrategy | 创建策略失败，找不到策略类ThresholdAlertStrategy
2026-05-21 13:35:04.515 | INFO | CtaStrategy | 创建策略失败，找不到策略类ThresholdAlertStrategy
2026-05-21 13:35:04.517 | INFO | CtaStrategy | 创建策略失败，找不到策略类ThresholdAlertStrategy
