date,open,high,low,close,volume,code
2024-01-02,3.367241,3.4266629,3.35733735,3.39695195,11533635,
2024-01-03,3.4068556,3.43656655,3.39695195,3.43656655,11590400,
2024-01-04,3.41675925,3.45637385,3.4068556,3.4464702,10733098,
2024-01-05,3.43656655,3.4662775,3.39695195,3.4068556,9161600,
2024-01-08,3.39695195,3.4068556,3.33753005,3.33753005,9849149,
2024-01-09,3.3474337,3.37714465,3.31772275,3.35733735,13577314,
2024-01-10,3.33753005,3.37714465,3.3078191,3.3474337,8301500,
2024-01-11,3.33753005,3.4464702,3.3276264,3.4068556,19274901,
2024-01-12,3.37714465,3.41675925,3.33753005,3.35733735,17026931,
2024-01-15,3.3276264,3.367241,3.31772275,3.33753005,9125759,
2024-01-16,3.33753005,3.3474337,3.2682045,3.3078191,13449600,
2024-01-17,3.29791545,3.31772275,3.23849355,3.2483972,14069683,
2024-01-18,3.23849355,3.23849355,3.08003515,3.169168,24284144,
2024-01-19,3.15926435,3.2087826,3.13945705,3.17907165,11881047,
2024-01-22,3.1493607,3.169168,2.92157675,2.96119135,21590413,
2024-01-23,2.9512877,2.971095,2.8720585,2.9512877,18717311,
2024-01-24,2.971095,3.0503242,2.90176945,3.0305169,20584515,
2024-01-25,3.02061325,3.11964975,3.0107096,3.11964975,14996045,
2024-01-26,3.1097461,3.21868625,3.0899388,3.169168,15469600,
2024-01-29,3.169168,3.19887895,3.08003515,3.0899388,12577044,
2024-01-30,3.06022785,3.1295534,3.00080595,3.0107096,12572615,
2024-01-31,2.98099865,3.0107096,2.86215485,2.88196215,19045305,
2024-02-01,2.88196215,2.88196215,2.7532147,2.7928293,20941399,
2024-02-02,2.78292565,2.84234755,2.64427455,2.70369645,20443381,
2024-02-05,2.6739855,2.6937928,2.4362979,2.4561052,35186727,
2024-02-06,2.34716505,2.60465995,2.30755045,2.52543075,30699546,
2024-02-07,2.52543075,2.5353344,2.3174541,2.36697235,33495098,
2024-02-08,2.36697235,2.5353344,2.3372614,2.5353344,34422058,
2024-02-19,2.574949,2.66408185,2.54523805,2.5947563,27128559,
2024-02-20,2.5947563,2.6145636,2.54523805,2.60465995,13187004,
2024-02-21,2.58485265,2.70369645,2.56504535,2.64427455,20448170,
2024-02-22,2.64427455,2.68388915,2.6145636,2.6739855,11707832,
2024-02-23,2.68388915,2.74331105,2.66408185,2.7334074,16271056,
2024-02-26,2.7334074,2.8126366,2.7334074,2.773022,21654966,
2024-02-27,2.76311835,2.8324439,2.72350375,2.8324439,17160382,
2024-02-28,2.84234755,2.88196215,2.6541782,2.66408185,31840800,
2024-02-29,2.6541782,2.74331105,2.6343709,2.74331105,16985880,
2024-03-01,2.7532147,2.78292565,2.72350375,2.7532147,15209000,
2024-03-04,2.7532147,2.7532147,2.6739855,2.70369645,12663353,
2024-03-05,2.6937928,2.6937928,2.62446725,2.6343709,14423412,
2024-03-06,2.62446725,2.68388915,2.6145636,2.6541782,13000700,
2024-03-07,2.66408185,2.72350375,2.66408185,2.68388915,13664666,
2024-03-08,2.68388915,2.70369645,2.6541782,2.70369645,8676200,
2024-03-11,2.70369645,2.7532147,2.6937928,2.7532147,9961133,
2024-03-12,2.7532147,2.88196215,2.7334074,2.86215485,24623046,
2024-03-13,2.8324439,2.84234755,2.773022,2.80273295,18583598,
2024-03-14,2.78292565,2.82254025,2.7532147,2.78292565,10010023,
2024-03-15,2.78292565,2.82254025,2.76311835,2.8126366,9381429,
2024-03-18,2.8324439,2.88196215,2.8126366,2.86215485,14960092,
2024-03-19,2.8522512,2.8918658,2.8324439,2.84234755,15314121,
2024-03-20,2.8522512,2.90176945,2.84234755,2.88196215,11638160,
2024-03-21,2.8918658,2.98099865,2.8720585,2.94138405,21184058,
2024-03-22,2.971095,3.04042055,2.88196215,2.9116731,17015528,
2024-03-25,2.90176945,3.19887895,2.8918658,3.02061325,65967204,
2024-03-26,3.00080595,3.08003515,2.8918658,2.92157675,50207662,
2024-03-27,2.96119135,3.1295534,2.8522512,2.86215485,40919931,
2024-03-28,2.88196215,3.06022785,2.88196215,2.971095,41953392,
2024-03-29,2.971095,3.09984245,2.90176945,3.06022785,41265034,
2024-04-01,3.02061325,3.09984245,3.00080595,3.0899388,33940358,
2024-04-02,3.0899388,3.11964975,3.06022785,3.0899388,24029316,
2024-04-03,3.06022785,3.09984245,3.0305169,3.06022785,19491336,
2024-04-08,3.06022785,3.06022785,2.971095,2.971095,15891872,
2024-04-09,2.96119135,3.06022785,2.96119135,3.04042055,20382702,
2024-04-10,3.04042055,3.04042055,2.9314804,2.971095,18655202,
2024-04-11,2.94138405,3.00080595,2.9314804,2.96119135,12570509,
2024-04-12,2.96119135,2.971095,2.88196215,2.90176945,12697600,
2024-04-15,2.8720585,2.8720585,2.62446725,2.7334074,30565780,
2024-04-16,2.6937928,2.72350375,2.52543075,2.5353344,24603239,
2024-04-17,2.574949,2.70369645,2.574949,2.70369645,15915235,
