date,open,high,low,close,volume,_bs_code
2024-05-24,52.15722434,53.92576267,52.09859876,53.14408827,3343622.0,
2024-05-27,52.69462549,53.3492778,51.2973825,52.75325107,2984699.0,
2024-05-28,52.65554177,53.66194756,50.808836,50.95539995,2778765.0,
2024-05-29,50.78929414,52.6653127,50.69158484,51.1019639,2519953.0,
2024-05-30,53.1538592,56.21216029,52.90958595,55.46956961,13641858.0,
2024-05-31,54.21889057,54.70743707,51.5905104,51.5905104,9732950.0,
2024-06-03,50.808836,51.14104762,49.1477779,50.08578718,5532341.0,
2024-06-04,49.60701161,50.63295926,49.2454872,50.14441276,2621885.0,
2024-06-05,49.90013951,50.2225802,48.73739884,48.74716977,2618869.0,
2024-06-06,49.1477779,50.29097671,48.59083489,48.86442093,2878800.0,
2024-06-07,48.97190116,49.51907324,47.91664072,48.02412095,2291100.0,
2024-06-11,47.77007677,48.41495815,47.27175934,48.35633257,1731416.0,
2024-06-12,48.27816513,48.54198024,47.66259654,47.94595351,1538308.0,
2024-06-13,47.85801514,48.04366281,46.46077215,46.59756517,2704500.0,
2024-06-14,46.43145936,46.5096268,45.65955589,46.49985587,2548400.0,
2024-06-17,46.15787332,46.59756517,45.67909775,46.34352099,1990200.0,
2024-06-18,46.29466634,47.81893142,46.00153844,47.77007677,2931804.0,
2024-06-19,47.77007677,47.7798477,46.900464,47.01771516,1753100.0,
2024-06-20,46.95908958,46.96886051,45.80611984,45.83543263,1484461.0,
2024-06-21,46.29466634,46.72458726,45.67909775,46.3142082,1414169.0,
2024-06-24,46.0210803,46.54871052,45.41528264,46.08947681,1518600.0,
2024-06-25,46.3142082,46.88092214,45.45436636,46.01130937,1646800.0,
2024-06-26,45.48367915,47.25221748,44.36979313,47.17405004,2385003.0,
2024-06-27,46.87115121,46.95908958,45.31757334,45.5325338,1946803.0,
2024-06-28,45.64001403,46.26535355,45.20032218,45.64001403,1325744.0,
2024-07-01,45.66932682,45.86474542,44.6531501,45.3371152,1182400.0,
2024-07-02,45.21009311,45.3371152,44.3600222,44.48704429,1243035.0,
2024-07-03,44.46750243,44.7508594,43.34384548,44.00826872,1276600.0,
2024-07-04,43.82262105,44.12551988,43.06048851,43.12888502,1118220.0,
2024-07-05,43.13865595,43.5783478,42.8943827,43.52949315,954100.0,
2024-07-08,43.3829292,43.7737664,42.8943827,43.35361641,964893.0,
2024-07-09,43.1875106,44.24277104,43.01163386,44.24277104,1422278.0,
2024-07-10,43.7737664,45.07330009,43.40247106,44.13529081,1369758.0,
2024-07-11,44.70200475,45.99176751,44.3600222,45.81589077,2192799.0,
2024-07-12,45.76703612,45.97222565,45.06352916,45.17100939,1062304.0,
2024-07-15,45.02444544,45.44459543,44.82902684,45.26871869,952564.0,
2024-07-16,45.15146753,46.7050454,45.0439873,46.65619075,2101214.0,
2024-07-17,46.65619075,47.08611167,46.0210803,46.66596168,1699397.0,
2024-07-18,46.58779424,47.1935919,46.0210803,46.82229656,1376140.0,
2024-07-19,46.5096268,47.6821384,46.34352099,47.32061399,1936563.0,
2024-07-22,47.43786515,47.6821384,46.53893959,46.76367098,1288590.0,
2024-07-23,46.28489541,46.82229656,45.40551171,45.40551171,1056800.0,
2024-07-24,45.64001403,45.81589077,44.82902684,45.01467451,890975.0,
2024-07-25,44.946278,46.38260471,44.82902684,46.06993495,1462342.0,
2024-07-26,46.06993495,46.69527447,45.96245472,46.62687796,1030300.0,
2024-07-29,46.6073361,46.7050454,45.64978496,45.64978496,827595.0,
2024-07-30,45.4348245,46.2164989,45.0439873,46.06016402,793804.0,
2024-07-31,46.12856053,47.05679888,45.94291286,46.75390005,1426344.0,
2024-08-01,46.77344191,47.13496632,46.32397913,46.4119175,865242.0,
2024-08-02,46.0210803,46.62687796,46.0210803,46.0210803,644436.0,
2024-08-05,45.90382914,46.900464,45.31757334,45.32734427,1310551.0,
2024-08-06,45.923371,46.6073361,45.22963497,45.77680705,1056865.0,
2024-08-07,45.923371,45.923371,45.02444544,45.41528264,730400.0,
2024-08-08,45.25894776,46.10901867,45.10261288,45.77680705,829124.0,
2024-08-09,45.94291286,46.2164989,44.98536172,44.98536172,714879.0,
2024-08-12,45.0439873,45.42505357,44.85833963,45.01467451,565714.0,
2024-08-13,44.96581986,45.7279524,44.4577315,45.40551171,936099.0,
2024-08-14,45.19055125,45.923371,44.68246289,44.70200475,574814.0,
2024-08-15,44.48704429,45.79634891,44.1646036,45.27848962,979827.0,
2024-08-16,45.27848962,45.83543263,44.946278,45.76703612,893274.0,
