date,open,high,low,close,volume,code
2024-01-02,14.66765496,14.6732877,14.46487632,14.55500016,892220,
2024-01-03,14.55500016,14.66765496,14.24519946,14.29589412,1377102,
2024-01-04,14.29589412,14.4198144,14.2226685,14.35222152,988381,
2024-01-05,14.35222152,14.62259304,14.12691192,14.2226685,1156540,
2024-01-08,14.15507562,14.21140302,13.70445642,13.73262012,1196900,
2024-01-09,13.6875582,14.1945048,13.64812902,13.78331478,1160120,
2024-01-10,13.75515108,13.85090766,13.4340849,13.67065998,1197720,
2024-01-11,13.72135464,13.90160232,13.56927066,13.83964218,1018140,
2024-01-12,13.81147848,14.05931904,13.80584574,13.81147848,1052102,
2024-01-15,13.7438856,13.8847041,13.59180162,13.71008916,845120,
2024-01-16,13.80584574,13.80584574,13.3495938,13.60869984,1645157,
2024-01-17,13.79458026,13.79458026,13.27073544,13.27073544,1065740,
2024-01-18,13.236939,13.40028846,12.673665,13.2087753,1768860,
2024-01-19,13.0679568,13.236939,12.7863198,12.82574898,1001020,
2024-01-22,12.79758528,12.79758528,11.828754,11.89071414,1415958,
2024-01-23,11.90197962,12.28500594,11.76679386,12.18361662,1645640,
2024-01-24,12.30190416,12.32443512,11.59217892,12.1385547,1444949,
2024-01-25,12.17235114,12.62860308,11.90197962,12.60043938,1533740,
2024-01-26,12.59480664,12.673665,12.31880238,12.39766074,1209380,
2024-01-29,12.41455896,12.60607212,11.8569177,11.86255044,1116989,
2024-01-30,11.67103728,11.93014332,11.44009494,11.4907896,891524,
2024-01-31,11.44572768,11.49642234,11.03453766,11.03453766,2178607,
2024-02-01,10.9275156,11.29927644,10.65151134,11.0120067,1744680,
2024-02-02,11.1528252,11.19788712,10.138932,10.43183448,2354031,
2024-02-05,10.3642416,10.58391846,9.11377332,9.92488788,2678146,
2024-02-06,10.00937898,10.4487327,9.294021,10.07697186,2179292,
2024-02-07,10.138932,10.3924053,9.81223308,9.93615336,2133539,
2024-02-08,9.9981135,11.16409068,9.89109144,11.08523232,3142094,
2024-02-19,11.26548,11.4907896,10.983843,11.4344622,3049653,
2024-02-20,11.39503302,11.75552838,11.1809889,11.55838248,2099341,
2024-02-21,11.4344622,13.4059212,11.32744014,12.5046828,3884015,
2024-02-22,12.392028,12.75252336,12.38076252,12.5891739,2073106,
2024-02-23,12.58354116,12.7018287,12.40892622,12.7018287,1892086,
2024-02-26,12.70746144,13.07922228,12.61170486,12.76942158,2531711,
2024-02-27,12.57790842,13.0961205,12.49341732,13.03416036,2663270,
2024-02-28,13.0397931,13.25383722,12.0540636,12.0540636,3311140,
2024-02-29,11.89634688,12.48778458,11.87381592,12.45398814,1834928,
2024-03-01,12.42582444,13.00599666,12.392028,12.93277104,3022477,
2024-03-04,13.02852762,13.76641656,12.7581561,13.73825286,5446296,
2024-03-05,13.56927066,13.65376176,13.15808064,13.2087753,3323880,
2024-03-06,13.236939,13.82274396,13.12991694,13.7438856,3656047,
2024-03-07,13.9128678,14.00299164,13.35522654,13.35522654,3038780,
2024-03-08,13.28200092,13.47351408,13.14681516,13.34396106,1910731,
2024-03-11,13.51294326,13.7720493,13.31579736,13.7438856,2699981,
2024-03-12,13.75515108,13.75515108,13.39465572,13.48477956,2602857,
2024-03-13,13.46788134,13.59743436,13.3495938,13.43971764,1570331,
2024-03-14,13.48477956,13.5467397,13.12991694,13.32706284,1555905,
2024-03-15,13.36649202,13.4340849,13.22567352,13.41718668,1186710,
2024-03-18,13.45098312,13.5749034,13.36085928,13.5749034,1700439,
2024-03-19,13.56363792,13.61433258,13.3495938,13.3495938,1432080,
2024-03-20,13.36085928,13.55800518,13.2932664,13.55237244,1507946,
2024-03-21,13.5467397,13.61433258,13.24257174,13.29889914,1750462,
2024-03-22,13.2932664,13.35522654,12.8426472,13.03416036,2034654,
2024-03-25,12.94966926,13.03416036,12.51031554,12.52158102,1728086,
2024-03-26,12.52158102,12.72435966,12.27374046,12.4765191,1576229,
2024-03-27,12.4483554,12.4765191,11.9414088,11.9977362,2002074,
2024-03-28,11.9414088,12.5046828,11.89071414,12.3075369,1447226,
2024-03-29,12.3075369,12.52721376,12.23431128,12.38639526,1065213,
2024-04-01,12.5046828,12.65676678,12.34696608,12.6173376,1512878,
2024-04-02,12.61170486,12.69619596,12.43708992,12.51594828,1030821,
2024-04-03,12.51594828,12.673665,12.27374046,12.40892622,1097900,
2024-04-08,12.5328465,12.5328465,11.9414088,11.95830702,2032025,
2024-04-09,11.86818318,12.17235114,11.83438674,11.95830702,1850381,
2024-04-10,11.93014332,11.95830702,11.59217892,11.70483372,1367240,
2024-04-11,11.6879355,12.21741306,11.62597536,11.98083798,1572651,
2024-04-12,11.9977362,12.80321802,11.9977362,12.4765191,4106762,
2024-04-15,12.37512978,12.4201917,11.5189533,11.6316081,3716580,
2024-04-16,11.50205508,11.7442629,10.90498464,10.90498464,2273427,
2024-04-17,11.0964978,11.83438674,11.0964978,11.83438674,2101436,
2024-04-18,11.84565222,12.45962088,11.72736468,12.0540636,2572605,
2024-04-19,12.96093474,13.16934612,12.38076252,12.40892622,5072184,
2024-04-22,12.20614758,12.8426472,12.06532908,12.5610102,3531861,
2024-04-23,12.36949704,12.71872692,12.36949704,12.55537746,2069886,
2024-04-24,12.58354116,12.7299924,12.49905006,12.56664294,2077994,
2024-04-25,12.4201917,13.50731052,12.40329348,12.96093474,4515962,
2024-04-26,12.00900168,12.32443512,11.72173194,12.12728922,5830413,
2024-04-29,12.12165648,12.47088636,12.07659456,12.3357006,2845572,
2024-04-30,12.3357006,12.43708992,12.12728922,12.17235114,1675980,
2024-05-06,12.2512095,12.7299924,12.2512095,12.6173376,2508654,
2024-05-07,12.5610102,12.89334186,12.5046828,12.66803226,2228285,
2024-05-08,12.77505432,12.98909844,12.59480664,12.8708109,2921535,
2024-05-09,12.74689062,12.99473118,12.74689062,12.91024008,2426004,
2024-05-10,13.11301872,13.50731052,12.79195254,13.37212476,4556721,
2024-05-13,13.37212476,13.89033684,13.16371338,13.800213,5733417,
2024-05-14,13.6312308,14.0255226,13.36085928,13.91850054,6079507,
2024-05-15,13.7720493,14.07621726,13.33832832,13.36085928,4604883,
2024-05-16,13.31016462,13.70445642,13.10175324,13.16934612,2712539,
2024-05-17,13.25383722,13.25383722,12.88770912,12.9834657,2495822,
2024-05-20,12.96093474,13.19187708,12.85391268,13.15808064,2083250,
2024-05-21,13.16610339,13.34282961,12.94117911,12.98134416,2402940,
2024-05-22,12.89298105,13.656117,12.81265095,13.51152282,4836260,
2024-05-23,13.39906068,13.46332476,12.98134416,13.06167426,2466841,
2024-05-24,13.3347966,14.92533258,13.3347966,14.22646071,12446004,
2024-05-27,13.93727235,15.262719,13.93727235,14.74860636,14692203,
2024-05-28,14.42728596,16.49176953,14.33892285,15.86519475,18469095,
2024-05-29,15.1020588,16.4676705,14.8610685,15.33501609,14274492,
2024-05-30,15.3430491,15.97765689,14.74057335,14.74057335,12192276,
2024-05-31,14.76467238,15.15025686,14.15416362,14.88516753,10409573,
2024-06-03,14.60401218,14.63614422,14.00153643,14.2184277,7477160,
2024-06-04,14.15416362,16.4676705,13.88907429,16.3873404,18903865,
2024-06-05,15.6643695,16.15438311,15.40731318,15.71256756,13638885,
2024-06-06,15.6643695,15.92945883,14.459418,14.71647432,11328484,
2024-06-07,14.98156365,15.14222385,14.34695586,14.89320054,8795216,
2024-06-11,14.6200782,15.24665298,14.16219663,15.23861997,6775697,
2024-06-12,14.95746462,16.4676705,14.86910151,16.04995398,12344155,
2024-06-13,15.79289766,16.3070103,15.64830348,16.07405301,10986935,
2024-06-14,15.80093067,16.94161809,15.55994037,15.60010542,14530706,
2024-06-17,15.53584134,16.41143943,14.90123355,16.31504331,12182926,
2024-06-18,16.04192097,16.4676705,15.81699669,16.05798699,9132321,
2024-06-19,15.93749184,15.95355786,15.39124716,15.43944522,6147627,
2024-06-20,15.35108211,15.64830348,14.74057335,14.79680442,5723684,
2024-06-21,14.80483743,15.03779472,14.15416362,14.2987578,5789356,
2024-06-24,14.24252673,14.61204519,14.06580051,14.39515392,3739671,
2024-06-25,14.459418,15.1823889,14.30679081,15.03779472,5928321,
2024-06-26,14.8610685,15.47157726,14.7807384,15.04582773,5355558,
2024-06-27,15.0217287,15.0217287,14.25859275,14.45138499,4839323,
2024-06-28,14.459418,16.86128799,14.38712091,15.63223746,10415754,
2024-07-01,15.46354425,16.01782194,15.40731318,15.76879863,6416673,
2024-07-02,15.61617144,15.9856899,15.47961027,15.56797338,5657975,
2024-07-03,15.39928017,15.55994037,14.78877141,14.87713452,5267424,
2024-07-04,14.7807384,15.14222385,14.38712091,14.459418,3803982,
2024-07-05,14.35498887,14.82893646,14.20236168,14.66024325,3192093,
2024-07-08,14.66827626,14.82090345,14.40318693,14.53171509,2800829,
2024-07-09,14.459418,15.15828987,14.28269178,15.00566268,4477108,
2024-07-10,14.82893646,15.06992676,14.60401218,14.60401218,3417580,
2024-07-11,14.6200782,15.41534619,14.50761606,15.3430491,6427055,
2024-07-12,15.16632288,15.29485104,14.90123355,14.98959666,3327884,
2024-07-15,14.9413986,14.98959666,14.32285683,14.33892285,3875271,
2024-07-16,14.22646071,14.46745101,13.4151267,13.60791894,6111007,
2024-07-17,13.68021603,13.69628205,12.74035386,12.89298105,5255060,
2024-07-18,12.7724859,13.02150921,12.5314956,12.73232085,3485760,
2024-07-19,12.6118257,13.23036747,12.54756162,13.10183931,3294387,
2024-07-22,13.08577329,13.68824904,13.06167426,13.39102767,2727080,
2024-07-23,13.32676359,13.55168787,12.96527814,13.00544319,1803500,
2024-07-24,13.00544319,13.2544665,12.7724859,12.99741018,1910448,
2024-07-25,12.9331461,13.23840048,12.71625483,12.9331461,1745416,
2024-07-26,12.91708008,13.12593834,12.88494804,12.9331461,2177360,
2024-07-29,13.14200436,13.9774374,13.0134762,13.50348981,6297230,
2024-07-30,13.0938063,13.29463155,12.94117911,13.10987232,3826082,
2024-07-31,12.97331115,13.46332476,12.94921212,13.37496165,3317830,
2024-08-01,13.35086262,13.4954568,13.05364125,13.20626844,3468996,
2024-08-02,13.0134762,13.1741364,12.9331461,13.02150921,2337868,
2024-08-05,12.86888202,13.10183931,12.29853831,12.32263734,2903136,
2024-08-06,12.46723152,12.75641988,12.46723152,12.75641988,2142848,
2024-08-07,13.35889563,13.55168787,12.94921212,12.98937717,3984870,
2024-08-08,12.81265095,12.852816,12.51542958,12.66805677,3014940,
2024-08-09,12.73232085,12.9331461,12.56362764,12.58772667,1917240,
2024-08-12,12.60379269,12.82871697,12.33067035,12.39493443,1693071,
2024-08-13,12.39493443,12.49133055,12.24230724,12.47526453,1483900,
2024-08-14,12.53952861,12.62789172,12.34673637,12.37886841,1190700,
2024-08-15,12.44313249,12.56362764,12.20214219,12.44313249,1311700,
2024-08-16,12.41100045,12.51542958,12.18607617,12.2101752,1780916,
2024-08-19,12.2101752,12.36280239,12.1298451,12.17001015,1094140,
2024-08-20,12.17001015,12.28247229,11.84868975,11.93705286,1574188,
2024-08-21,11.93705286,12.03344898,11.52736935,11.63179848,2547909,
2024-08-22,11.68802955,11.81655771,11.38277517,11.52736935,2179053,
2024-08-23,11.53540236,11.63983149,11.246214,11.31047808,2361040,
2024-08-26,11.31047808,11.47917129,11.246214,11.4068742,1441880,
2024-08-27,11.4068742,11.44703925,11.03735574,11.06145477,2203220,
2024-08-28,11.06145477,11.10161982,10.8445635,10.94095962,1900700,
2024-08-29,10.94095962,11.43097323,10.8445635,11.28637905,2099153,
2024-08-30,12.17804316,12.49133055,11.79245868,12.26640627,7558874,
2024-09-02,12.14591112,12.34673637,11.98525092,12.00131694,3975868,
2024-09-03,12.049515,12.41903346,12.00934995,12.36280239,3332997,
2024-09-04,12.25034025,12.71625483,12.13787811,12.28247229,2365812,
2024-09-05,12.22624122,12.34673637,12.1298451,12.25837326,1794120,
2024-09-06,12.21820821,12.28247229,11.8888548,11.8888548,1724511,
2024-09-09,12.1298451,12.1298451,11.71212858,11.91295383,1618080,
2024-09-10,11.91295383,12.1298451,11.80049169,12.11377908,1440523,
2024-09-11,12.08164704,12.27443928,12.00131694,12.1298451,1331292,
2024-09-12,12.06558102,12.35476938,12.06558102,12.16197714,1623677,
2024-09-13,12.17001015,12.25837326,11.8888548,11.8888548,1482609,
2024-09-18,12.00934995,12.08164704,11.63179848,11.8888548,1423352,
2024-09-19,11.87278878,12.17001015,11.87278878,12.08968005,1583768,
2024-09-20,12.08968005,12.12181209,11.81655771,11.91295383,1235269,
2024-09-23,11.82459072,12.00934995,11.7281946,11.76032664,1160160,
2024-09-24,11.82459072,12.1298451,11.66393052,12.10574607,2120175,
2024-09-25,12.28247229,12.52346259,12.1298451,12.19410918,3240656,
2024-09-26,12.17001015,12.5314956,12.02541597,12.49936356,3143322,
2024-09-27,12.77514,13.464592,12.57236,13.221256,5620807,
2024-09-30,13.6917056,15.2652784,13.5781488,15.00572,11024503,
2024-10-08,17.84464,17.84464,15.7113944,17.1632992,13131698,
2024-10-09,16.2305112,16.2872896,14.4947144,14.5028256,11435549,
2024-10-10,14.681272,15.4437248,14.6650496,14.843496,6779559,
2024-10-11,14.8191624,14.8353848,13.7728176,14.0404872,4930759,
2024-10-14,14.2513784,14.5758264,13.8539296,14.5433816,3711679,
2024-10-15,14.39738,14.7137168,14.0810432,14.1053768,3877377,
2024-10-16,14.032376,14.275712,13.870152,14.072932,2797709,
2024-10-17,14.1946,14.437936,14.0485984,14.0810432,3264692,
2024-10-18,13.99182,14.9002744,13.951264,14.5677152,6051805,
2024-10-21,14.6650496,15.1111656,14.5839376,14.884052,6136864,
2024-10-22,14.8110512,15.4031688,14.640716,15.167944,5784886,
2024-10-23,15.167944,15.3950576,14.884052,15.0219424,5620695,
2024-10-24,14.762384,14.80294,14.4460472,14.6569384,4432639,
2024-10-25,14.6569384,14.9894976,14.5352704,14.80294,4165221,
2024-10-28,14.8921632,14.8921632,14.6650496,14.7948288,4570356,
2024-10-29,14.7704952,14.9732752,14.559604,14.6163824,5006581,
2024-10-30,14.60016,14.7380504,14.1297104,14.4054912,4439384,
2024-10-31,14.4622696,14.681272,14.2027112,14.4703808,3610264,
2024-11-01,14.3243792,14.39738,13.6592608,13.6917056,4647923,
2024-11-04,13.707928,14.1864888,13.707928,14.113488,2824936,
2024-11-05,14.113488,14.5433816,13.9593752,14.4703808,4242538,
2024-11-06,14.4217136,14.7299392,14.316268,14.3892688,5038756,
2024-11-07,14.3892688,14.7542728,14.2513784,14.7461616,4416964,
2024-11-08,14.8191624,15.0624984,14.6893832,14.7867176,6694213,
2024-11-11,14.681272,15.370724,14.681272,15.3058344,7285570,
2024-11-12,15.3545016,15.4031688,14.9327192,15.167944,6666154,
2024-11-13,15.3463904,15.8817296,15.2328336,15.8655072,11636791,
2024-11-14,15.8655072,16.1737328,15.00572,15.1192768,9483959,
2024-11-15,15.0949432,15.2652784,14.721828,14.7380504,5653499,
2024-11-18,14.721828,14.80294,14.0404872,14.1378216,4765264,
2024-11-19,14.2432672,14.7056056,14.2108224,14.6731608,3201146,
2024-11-20,14.5758264,14.8516072,14.5352704,14.7867176,3851970,
2024-11-21,14.8191624,15.289612,14.7704952,14.9813864,3950155,
2024-11-22,14.8597184,15.3058344,14.5271592,14.5271592,5458628,
2024-11-25,14.6326048,14.80294,14.3081568,14.7299392,3198215,
2024-11-26,14.6650496,14.762384,14.3406016,14.4136024,2769884,
2024-11-27,14.3406016,14.7461616,13.8782632,14.7461616,2849414,
2024-11-28,14.6974944,14.843496,14.4703808,14.4947144,2634675,
2024-11-29,14.437936,14.80294,14.356824,14.7461616,3009249,
2024-12-02,14.7542728,15.0300536,14.6488272,15.0138312,4026680,
2024-12-03,15.00572,15.3950576,14.924608,15.2328336,6924052,
2024-12-04,15.0949432,15.2085,14.8759408,15.0138312,4315876,
2024-12-05,14.9976088,15.6383936,14.9083856,15.41128,5776260,
2024-12-06,15.7276168,15.8087288,15.086832,15.2652784,5747540,
2024-12-09,15.2003888,15.3463904,15.046276,15.2247224,4213188,
2024-12-10,15.5897264,15.7519504,15.2977232,15.370724,7742645,
2024-12-11,15.2166112,16.060176,15.167944,16.0358424,11191959,
2024-12-12,16.1575104,16.5144032,15.654616,16.0115088,10462545,
2024-12-13,15.8898408,16.0033976,15.3382792,15.370724,6952234,
2024-12-16,15.3058344,15.8087288,15.1192768,15.3058344,4190255,
2024-12-17,15.3220568,15.5086144,14.7056056,14.7299392,4105865,
2024-12-18,14.8921632,15.2815008,14.478492,15.0219424,4438787,
2024-12-19,14.8759408,15.289612,14.7299392,15.1841664,4000396,
2024-12-20,15.1354992,15.5086144,15.0787208,15.370724,4808855,
2024-12-23,15.2977232,15.5978376,14.7786064,14.8921632,4999308,
2024-12-24,14.9976088,15.7925064,14.8921632,15.492392,7486311,
