date,open,high,low,close,volume
2025-10-16,19.65,20.35,19.51,20.25,356063887
2025-10-17,20.09,20.74,19.52,19.7,339417902
2025-10-20,19.65,19.67,18.92,19.06,218274742
2025-10-21,19.08,19.26,18.93,19.01,140583302
2025-10-22,19.17,19.39,18.72,18.77,137123602
2025-10-23,18.65,19.11,18.38,19.04,174756453
2025-10-24,19.05,19.48,18.69,18.84,142630836
2025-10-27,19.0,19.38,18.87,19.06,164710636
2025-10-28,19.19,19.22,18.76,18.9,116418558
2025-10-29,18.9,20.79,18.81,20.79,390006627
2025-10-30,21.01,22.14,21.0,21.51,492543812
2025-10-31,21.41,22.24,21.0,21.11,319061395
2025-11-03,21.37,21.88,21.2,21.76,289819163
2025-11-04,21.78,21.93,21.18,21.35,195737981
2025-11-05,21.01,22.52,20.73,21.85,330328825
2025-11-06,21.85,22.16,21.42,21.77,221645802
2025-11-07,21.64,23.3,21.64,22.43,422335016
2025-11-10,22.88,23.57,22.6,22.8,403103509
2025-11-11,22.8,23.09,22.41,22.44,280837054
2025-11-12,22.3,22.3,20.22,20.79,522345318
2025-11-13,20.8,21.64,20.69,21.3,321939600
2025-11-14,21.0,23.11,20.8,21.88,404831662
2025-11-17,22.0,22.1,21.26,21.69,231245721
2025-11-18,21.54,21.88,21.01,21.15,173462373
2025-11-19,21.15,21.44,20.64,21.2,196251424
2025-11-20,21.2,21.3,20.0,20.1,233883865
2025-11-21,19.7,19.9,18.81,18.84,287123974
2025-11-24,19.02,19.09,18.51,18.76,161506415
2025-11-25,18.91,19.23,18.8,18.98,137779698
2025-11-26,19.12,19.2,18.7,18.81,147489566
2025-11-27,18.76,19.07,18.52,18.58,157044053
2025-11-28,18.49,18.72,18.35,18.57,125989153
2025-12-01,18.7,18.85,18.5,18.75,127434712
2025-12-02,18.65,18.66,18.25,18.31,126276537
2025-12-03,18.3,18.34,17.98,18.02,112054210
2025-12-04,17.87,18.03,17.8,17.91,86869694
2025-12-05,17.92,18.07,17.81,18.02,102873797
2025-12-08,17.99,18.17,17.9,18.08,108315049
2025-12-09,18.06,18.26,17.9,18.2,150069026
2025-12-10,18.29,18.54,17.8,18.2,171883421
2025-12-11,18.16,18.26,17.86,17.88,100935567
2025-12-12,17.95,18.25,17.86,18.19,129753760
2025-12-15,18.15,18.37,17.96,18.0,120415202
2025-12-16,17.99,17.99,17.3,17.46,133384102
2025-12-17,17.49,17.82,17.44,17.78,91202372
2025-12-18,17.7,17.9,17.61,17.7,69934436
2025-12-19,17.71,18.41,17.71,18.08,138915627
2025-12-22,18.09,18.28,18.09,18.11,90095066
2025-12-23,18.12,18.18,17.92,18.02,85374901
2025-12-24,17.94,18.23,17.77,18.13,87031250
2025-12-25,18.04,18.31,17.95,18.27,95561755
2025-12-26,18.84,19.33,18.7,19.02,275273234
2025-12-29,19.03,19.18,18.61,18.7,152993339
2025-12-30,18.55,18.75,18.4,18.44,98250988
2025-12-31,18.42,18.54,18.17,18.2,102076729
2026-01-05,18.43,18.5,18.23,18.49,106353240
2026-01-06,18.49,18.88,18.45,18.83,147992462
2026-01-07,18.83,18.85,18.56,18.65,147104468
2026-01-08,18.53,18.93,18.39,18.77,153637712
2026-01-09,18.61,18.77,18.28,18.39,229018741
2026-01-12,18.1,19.45,18.02,19.23,364382289
2026-01-13,19.23,19.23,18.42,18.5,278558180
2026-01-14,18.43,19.07,18.37,18.59,255312684
2026-01-15,18.5,18.99,18.4,18.5,160109424
2026-01-16,18.61,18.95,18.47,18.73,194850570
2026-01-19,18.4,18.59,17.8,18.32,228742554
2026-01-20,18.23,18.39,17.3,17.38,316555022
2026-01-21,17.31,17.47,17.1,17.22,153578284
2026-01-22,17.2,17.93,17.15,17.59,191560397
2026-01-23,17.61,19.35,17.61,19.35,498597065
2026-01-26,19.83,20.05,18.98,19.09,536787523
2026-01-27,18.8,19.39,18.36,19.2,386428304
2026-01-28,19.16,19.44,18.8,18.82,258433969
2026-01-29,18.68,19.3,18.6,18.77,275455171
2026-01-30,18.58,18.82,17.71,17.88,291651273
2026-02-02,18.16,18.25,17.61,17.64,171096790
2026-02-03,17.83,18.58,17.83,18.57,283126265
2026-02-04,18.4,19.44,18.3,19.31,409458710
2026-02-05,19.01,19.01,18.16,18.23,325825007
2026-02-06,18.05,18.67,18.0,18.36,211197425
2026-02-09,18.78,19.75,18.74,19.18,428820049
2026-02-10,19.0,19.28,18.77,18.81,226249434
2026-02-11,18.8,18.99,18.55,18.59,158110407
2026-02-12,18.59,18.65,18.4,18.49,142980786
2026-02-13,18.4,18.44,18.1,18.13,148402387
2026-02-24,18.35,18.43,18.19,18.28,130471940
2026-02-25,18.32,18.62,18.29,18.57,142362468
2026-02-26,18.54,18.54,18.16,18.27,135456546
2026-02-27,18.17,18.5,18.16,18.32,115607932
2026-03-02,17.97,18.55,17.9,18.12,163628686
2026-03-03,18.2,18.73,17.9,17.99,227733841
2026-03-04,17.61,18.06,17.58,17.66,155940111
2026-03-05,17.93,18.0,17.71,17.76,119452315
2026-03-06,17.76,18.08,17.58,18.0,120323418
2026-03-09,18.01,18.49,17.92,18.39,206275509
2026-03-10,18.25,18.62,18.1,18.56,182834037
2026-03-11,18.55,18.95,18.39,18.79,231193577
2026-03-12,18.74,19.07,18.46,18.94,250082130
2026-03-13,18.92,19.47,18.78,18.87,341948340
2026-03-16,18.95,19.19,18.61,18.68,201316284
2026-03-17,18.77,19.43,18.76,18.79,271053214
2026-03-18,18.76,18.97,18.29,18.54,183500858
2026-03-19,18.35,18.79,18.31,18.52,171859699
2026-03-20,18.5,19.6,18.42,18.99,446958792
2026-03-23,19.05,19.4,18.69,18.81,402690738
2026-03-24,18.94,19.2,17.77,19.04,390051589
2026-03-25,18.81,19.18,18.73,18.89,263203670
2026-03-26,18.89,19.06,18.31,18.37,245895227
2026-03-27,18.1,18.74,18.08,18.52,207588734
2026-03-30,18.4,18.57,17.8,17.96,217317199
2026-03-31,17.9,18.02,17.53,17.54,160019139
2026-04-01,17.72,18.03,17.54,17.89,134902214
2026-04-02,17.8,17.8,17.31,17.36,134821843
2026-04-03,17.3,17.35,16.61,16.66,181112872
2026-04-07,16.66,16.74,16.39,16.7,112080260
2026-04-08,16.92,17.42,16.83,17.32,165925492
2026-04-09,17.06,17.22,16.87,16.92,111997124
2026-04-10,17.06,17.27,16.96,17.12,117060231
2026-04-13,17.0,18.02,16.95,17.68,216395314
2026-04-14,17.59,17.63,17.35,17.55,131676074
2026-04-15,17.59,17.66,17.36,17.38,98993635
2026-04-16,17.45,17.54,17.35,17.51,90707687
2026-04-17,17.45,17.52,17.23,17.44,107334437
2026-04-20,17.44,17.8,17.35,17.65,135147018
2026-04-21,17.65,17.79,17.48,17.59,90529742
2026-04-22,17.5,17.66,17.4,17.55,78820050
2026-04-23,17.69,17.79,17.37,17.53,125580645
2026-04-24,17.51,17.56,17.26,17.39,97503657
2026-04-27,17.3,17.43,17.12,17.14,109004163
2026-04-28,17.03,17.21,16.89,16.95,97787267
2026-04-29,16.28,16.59,15.82,16.55,245595378
2026-04-30,16.37,16.68,16.37,16.46,131505381
2026-05-06,16.53,16.65,16.39,16.55,145902230
2026-05-07,16.54,16.82,16.51,16.55,147596740
2026-05-08,16.54,16.55,16.22,16.36,160281637
2026-05-11,16.35,16.75,16.33,16.61,180960813
2026-05-12,16.65,16.91,16.38,16.7,197345160
2026-05-13,16.51,16.82,16.45,16.78,143368010
2026-05-14,16.79,17.04,16.3,16.3,209469059
2026-05-15,16.28,16.28,15.55,15.6,245767572
2026-05-18,15.45,15.46,15.05,15.14,155326289
2026-05-19,15.15,15.32,15.01,15.24,118854454
2026-05-20,15.26,15.65,15.08,15.35,137308724
2026-05-21,15.36,15.46,14.74,14.79,151848601
2026-05-22,14.95,15.1,14.73,15.04,108489399
