date,open,high,low,close,volume
2025-10-16,66.43,68.5,65.72,66.84,46037757
2025-10-17,66.85,67.4,65.0,65.1,34950734
2025-10-20,65.99,66.51,64.83,65.13,32671694
2025-10-21,65.5,66.58,65.14,66.0,36956031
2025-10-22,66.25,66.79,65.01,65.26,39804808
2025-10-23,65.01,65.43,64.02,65.14,34278526
2025-10-24,65.26,66.36,65.01,65.5,37275277
2025-10-27,66.55,67.85,66.51,67.01,50892492
2025-10-28,65.22,65.46,63.5,63.62,108208999
2025-10-29,63.6,64.48,62.71,64.02,56217455
2025-10-30,64.02,64.02,62.87,62.88,60874000
2025-10-31,63.36,65.49,63.2,64.15,83706390
2025-11-03,64.96,64.99,62.82,63.4,46030561
2025-11-04,63.42,63.45,61.55,61.92,51560966
2025-11-05,61.3,62.49,61.22,61.96,33438078
2025-11-06,61.95,62.5,61.47,62.42,25252395
2025-11-07,62.0,62.49,61.5,61.58,27065428
2025-11-10,61.57,61.93,60.96,61.83,39624830
2025-11-11,61.95,62.2,61.0,61.06,27515998
2025-11-12,61.09,62.86,61.09,62.1,51426776
2025-11-13,62.69,63.79,62.23,63.56,50831837
2025-11-14,63.45,63.9,62.76,62.9,31950414
2025-11-17,62.89,63.05,61.41,61.8,31538452
2025-11-18,61.61,62.85,61.52,61.78,21910059
2025-11-19,61.5,61.78,61.02,61.11,21116242
2025-11-20,61.23,61.65,60.54,60.63,25348006
2025-11-21,60.33,61.1,59.31,59.5,44733534
2025-11-24,60.04,61.1,59.96,60.66,34397324
2025-11-25,61.1,61.61,60.53,60.88,26504513
2025-11-26,61.5,62.8,61.03,62.36,43986195
2025-11-27,62.6,62.96,61.94,62.09,25730763
2025-11-28,62.36,62.36,61.61,62.08,20277619
2025-12-01,62.08,62.09,61.06,61.94,25483095
2025-12-02,61.9,61.9,61.0,61.12,18230614
2025-12-03,61.1,61.55,60.7,60.97,19852976
2025-12-04,61.01,61.49,60.97,61.25,18040766
2025-12-05,61.19,61.79,60.7,61.62,23117615
2025-12-08,62.6,63.55,61.92,62.46,50861759
2025-12-09,62.32,64.15,62.3,63.08,49359339
2025-12-10,63.15,63.56,62.27,63.38,28895961
2025-12-11,63.56,63.94,63.11,63.4,24706127
2025-12-12,63.28,63.28,62.26,63.28,31562926
2025-12-15,62.68,62.68,61.38,61.38,29007220
2025-12-16,61.38,61.49,58.68,59.15,52378486
2025-12-17,59.35,60.8,59.01,60.3,33041782
2025-12-18,60.05,60.57,59.95,60.0,17930929
2025-12-19,60.07,61.38,59.91,60.85,28835842
2025-12-22,60.81,61.5,60.33,60.93,23670924
2025-12-23,60.85,62.56,60.84,61.8,32919095
2025-12-24,61.67,62.0,61.08,61.23,25050206
2025-12-25,61.22,61.66,61.03,61.4,15518175
2025-12-26,61.3,61.66,60.6,61.06,21430781
2025-12-29,61.06,61.27,60.41,60.51,28575162
2025-12-30,60.4,60.6,59.9,60.18,25330461
2025-12-31,60.16,60.36,59.5,59.57,26827896
2026-01-05,60.06,63.49,59.99,63.08,85117028
2026-01-06,63.36,63.48,62.4,63.06,46352457
2026-01-07,63.01,64.8,63.0,63.85,52465173
2026-01-08,65.0,65.05,63.03,63.6,44774854
2026-01-09,63.58,64.2,62.8,63.78,42635753
2026-01-12,64.1,64.3,63.21,63.85,42877019
2026-01-13,64.3,65.83,64.05,64.52,74034035
2026-01-14,64.55,65.6,63.2,63.61,62925534
2026-01-15,63.18,63.83,62.7,63.17,46761236
2026-01-16,63.35,63.52,61.66,61.94,52378628
2026-01-19,61.8,62.38,60.66,61.12,47389096
2026-01-20,61.13,61.65,60.4,60.5,42775492
2026-01-21,60.51,60.88,59.86,60.1,54603508
2026-01-22,60.36,60.36,59.3,59.44,53706813
2026-01-23,59.73,60.27,58.76,58.99,80804300
2026-01-26,58.99,59.16,58.05,58.16,72732888
2026-01-27,58.39,58.49,57.14,57.2,63725548
2026-01-28,57.44,57.8,56.3,56.55,87875043
2026-01-29,56.35,58.37,56.08,58.11,113782475
2026-01-30,58.0,59.79,57.76,58.16,85204489
2026-02-02,57.76,58.33,56.31,56.49,60957998
2026-02-03,57.0,57.69,56.5,57.47,49883453
2026-02-04,57.3,57.7,56.23,57.6,48924296
2026-02-05,57.5,58.47,57.3,58.16,51774555
2026-02-06,57.74,58.15,57.24,57.31,36090365
2026-02-09,57.75,57.89,57.0,57.45,36611688
2026-02-10,57.46,59.04,57.05,58.4,64886069
2026-02-11,58.4,59.95,58.35,58.9,57368008
2026-02-12,58.6,59.49,58.5,58.74,34868980
2026-02-13,58.76,59.05,58.13,58.23,34356810
2026-02-24,58.31,58.48,57.72,58.01,33898134
2026-02-25,57.98,58.2,57.58,57.86,42157937
2026-02-26,57.86,58.1,56.6,56.72,50898707
2026-02-27,56.62,57.27,56.3,56.56,36364110
2026-03-02,55.58,56.08,54.2,54.54,74206195
2026-03-03,54.7,55.33,53.45,53.61,60139910
2026-03-04,53.22,53.9,52.67,52.98,47151820
2026-03-05,53.41,54.84,53.1,53.72,48485984
2026-03-06,53.6,55.67,53.4,55.56,62911930
2026-03-09,54.78,55.18,54.05,54.94,42623328
2026-03-10,55.3,56.75,55.3,56.55,47360492
2026-03-11,56.45,56.55,55.6,55.83,32125928
2026-03-12,55.8,56.04,55.23,55.3,26669135
2026-03-13,55.3,55.63,54.95,55.11,24416444
2026-03-16,55.21,56.05,54.52,55.59,30775144
2026-03-17,55.69,57.44,55.38,56.3,50411099
2026-03-18,56.26,57.08,56.02,56.88,39379311
2026-03-19,56.17,57.03,55.91,56.02,34364651
2026-03-20,56.19,56.76,55.05,55.14,34739510
2026-03-23,54.18,54.35,52.41,52.78,48770157
2026-03-24,53.27,53.74,52.81,53.64,34835504
2026-03-25,54.0,54.86,53.84,54.1,41152562
2026-03-26,53.28,54.1,51.54,51.63,64941653
2026-03-27,51.3,55.48,51.11,55.18,99119628
2026-03-30,54.73,56.1,54.61,55.76,69727079
2026-03-31,55.86,57.38,55.2,55.22,69292392
2026-04-01,56.03,57.78,55.6,57.73,100551656
2026-04-02,57.74,58.35,57.01,57.37,76516985
2026-04-03,56.98,56.99,56.1,56.38,45491605
2026-04-07,56.51,56.85,55.0,56.12,40146688
2026-04-08,57.01,57.64,55.91,57.45,73446290
2026-04-09,56.92,57.97,56.71,56.96,48075474
