date,open,high,low,close,volume
2024-05-24,1.89,1.92,1.87,1.89,21545604
2024-05-27,1.9,1.92,1.86,1.87,16859228
2024-05-28,1.86,1.93,1.85,1.91,29788300
2024-05-29,1.9,1.9,1.86,1.87,23644023
2024-05-30,1.87,1.88,1.79,1.8,31766700
2024-05-31,1.79,1.88,1.79,1.85,28779900
2024-06-03,1.84,1.86,1.76,1.77,28946800
2024-06-04,1.76,1.81,1.72,1.79,31516700
2024-06-05,1.78,1.79,1.7,1.72,23055600
2024-06-06,1.7,1.71,1.55,1.55,41831799
2024-06-07,1.4,1.6,1.4,1.54,53372668
2024-06-11,1.54,1.62,1.54,1.56,36374100
2024-06-12,1.55,1.67,1.55,1.66,45967343
2024-06-13,1.64,1.67,1.59,1.6,30648083
2024-06-14,1.58,1.63,1.57,1.6,17315083
2024-06-17,1.6,1.6,1.56,1.56,13184200
2024-06-18,1.56,1.6,1.56,1.58,13159356
2024-06-19,1.58,1.59,1.53,1.54,15086000
2024-06-20,1.53,1.55,1.47,1.48,28079700
2024-06-21,1.46,1.48,1.41,1.42,28335300
2024-06-24,1.37,1.42,1.31,1.35,42701323
2024-06-25,1.36,1.39,1.33,1.35,21172200
2024-06-26,1.34,1.38,1.31,1.37,22183400
2024-06-27,1.37,1.41,1.33,1.34,26371300
2024-06-28,1.33,1.37,1.32,1.33,22984300
2024-07-01,1.34,1.38,1.34,1.37,18611500
2024-07-02,1.38,1.51,1.36,1.46,52874948
2024-07-03,1.45,1.48,1.41,1.47,29384900
2024-07-04,1.45,1.47,1.4,1.41,21782600
2024-07-05,1.41,1.43,1.37,1.42,19609400
2024-07-08,1.4,1.42,1.37,1.37,17018700
2024-07-09,1.37,1.38,1.33,1.38,20428770
2024-07-10,1.37,1.44,1.36,1.4,21797974
2024-07-11,1.42,1.47,1.42,1.46,32218400
2024-07-12,1.47,1.54,1.46,1.52,37503100
2024-07-15,1.52,1.53,1.45,1.46,29404000
2024-07-16,1.45,1.48,1.43,1.47,15493400
2024-07-17,1.47,1.47,1.43,1.44,15368300
2024-07-18,1.42,1.44,1.4,1.43,13590200
2024-07-19,1.43,1.46,1.42,1.44,14507100
2024-07-22,1.44,1.45,1.42,1.43,9009664
2024-07-23,1.43,1.45,1.4,1.4,14449800
2024-07-24,1.39,1.41,1.36,1.36,16078400
2024-07-25,1.36,1.42,1.35,1.41,21831504
2024-07-26,1.41,1.47,1.41,1.44,21085800
2024-07-29,1.45,1.52,1.42,1.49,32576500
2024-07-30,1.48,1.58,1.44,1.57,63948404
2024-07-31,1.55,1.6,1.53,1.57,56461304
2024-08-01,1.56,1.66,1.55,1.62,65203679
2024-08-02,1.59,1.66,1.58,1.66,60303934
2024-08-05,1.64,1.74,1.63,1.63,66165955
2024-08-06,1.63,1.68,1.6,1.63,46745455
2024-08-07,1.64,1.68,1.6,1.65,44672500
2024-08-08,1.63,1.65,1.59,1.6,34658943
2024-08-09,1.6,1.63,1.57,1.59,39066400
2024-08-12,1.6,1.6,1.54,1.56,27087600
2024-08-13,1.57,1.63,1.54,1.62,32668500
2024-08-14,1.61,1.63,1.57,1.57,28432200
2024-08-15,1.58,1.6,1.54,1.57,27377801
2024-08-16,1.57,1.73,1.52,1.73,100947670
2024-08-19,1.66,1.9,1.65,1.8,135089667
2024-08-20,1.75,1.76,1.68,1.73,81257900
2024-08-21,1.7,1.71,1.66,1.67,40692470
2024-08-22,1.65,1.69,1.62,1.63,34207000
2024-08-23,1.62,1.67,1.61,1.66,40638089
2024-08-26,1.64,1.72,1.57,1.66,45345547
2024-08-27,1.66,1.67,1.63,1.67,26780402
2024-08-28,1.68,1.7,1.64,1.65,28072330
2024-08-29,1.64,1.74,1.62,1.69,44950230
2024-08-30,1.68,1.73,1.67,1.72,44409700
2024-09-02,1.75,1.8,1.72,1.76,59538200
2024-09-03,1.75,1.79,1.74,1.76,33553400
2024-09-04,1.77,1.84,1.74,1.82,60784500
2024-09-05,1.83,1.96,1.8,1.87,97442500
2024-09-06,1.85,1.98,1.82,1.91,90838490
2024-09-09,1.86,1.87,1.72,1.73,103607490
2024-09-10,1.69,1.77,1.69,1.74,43760300
2024-09-11,1.71,1.72,1.68,1.69,37053000
2024-09-12,1.69,1.75,1.69,1.71,38301265
2024-09-13,1.72,1.73,1.66,1.67,29163800
2024-09-18,1.67,1.67,1.59,1.61,30330400
2024-09-19,1.63,1.69,1.61,1.69,27220000
2024-09-20,1.68,1.7,1.65,1.66,18176500
2024-09-23,1.67,1.68,1.63,1.65,20752700
2024-09-24,1.66,1.72,1.65,1.71,34891300
2024-09-25,1.73,1.82,1.72,1.75,50969577
2024-09-26,1.74,1.9,1.73,1.84,75072851
2024-09-27,1.87,1.94,1.84,1.91,89235300
2024-09-30,1.96,2.09,1.92,2.07,141002397
2024-10-08,2.27,2.28,2.06,2.18,152920086
2024-10-09,2.17,2.17,1.96,1.96,98394710
2024-10-10,1.94,2.16,1.94,2.16,119183760
2024-10-11,2.22,2.38,2.16,2.38,279410713
2024-10-14,2.59,2.59,2.3,2.49,327552832
2024-10-15,2.36,2.74,2.36,2.72,288912441
2024-10-16,2.63,2.64,2.5,2.53,206733616
2024-10-17,2.56,2.6,2.4,2.46,192897812
2024-10-18,2.42,2.48,2.34,2.45,139573404
2024-10-21,2.43,2.46,2.38,2.39,100005600
2024-10-22,2.42,2.63,2.4,2.6,232349707
2024-10-23,2.53,2.54,2.46,2.47,146407784
2024-10-24,2.46,2.47,2.41,2.42,70526889
2024-10-25,2.42,2.51,2.42,2.45,80772465
2024-10-28,2.46,2.58,2.44,2.58,125510845
2024-10-29,2.6,2.74,2.54,2.59,185734500
2024-10-30,2.53,2.61,2.51,2.54,96891503
2024-10-31,2.53,2.62,2.5,2.54,135039135
2024-11-01,2.52,2.55,2.38,2.47,124604656
2024-11-04,2.43,2.49,2.37,2.44,57761858
2024-11-05,2.42,2.58,2.4,2.55,113854686
2024-11-06,2.55,2.63,2.54,2.58,104493534
2024-11-07,2.57,2.72,2.53,2.66,129098102
2024-11-08,2.72,2.77,2.65,2.68,104998289
2024-11-11,2.68,2.95,2.67,2.95,181309713
2024-11-12,3.07,3.11,2.83,2.87,231529058
2024-11-13,2.85,2.86,2.69,2.76,108845304
2024-11-14,2.77,2.8,2.61,2.63,76205455
2024-11-15,2.64,2.66,2.54,2.54,63107100
2024-11-18,2.54,2.59,2.43,2.44,64832200
2024-11-19,2.45,2.51,2.41,2.51,56201765
2024-11-20,2.53,2.63,2.48,2.62,70276300
2024-11-21,2.62,2.64,2.57,2.59,53968200
2024-11-22,2.56,2.85,2.55,2.74,214470200
2024-11-25,2.68,2.74,2.49,2.57,170065664
2024-11-26,2.54,2.62,2.5,2.5,72056671
2024-11-27,2.51,2.56,2.41,2.55,58262619
2024-11-28,2.56,2.67,2.54,2.6,76876095
2024-11-29,2.6,2.69,2.56,2.67,90339554
2024-12-02,2.68,2.8,2.66,2.8,112622955
2024-12-03,2.81,2.9,2.73,2.76,112760000
2024-12-04,2.73,2.85,2.69,2.71,86124603
2024-12-05,2.69,2.84,2.66,2.82,95668054
2024-12-06,2.84,2.95,2.81,2.93,145620927
2024-12-09,2.96,3.0,2.83,2.89,105896668
2024-12-10,2.95,2.99,2.84,2.85,118633069
2024-12-11,2.82,3.05,2.81,2.99,163899349
2024-12-12,2.98,3.04,2.86,2.99,151249629
2024-12-13,2.95,3.25,2.95,3.05,241046239
2024-12-16,2.97,3.3,2.96,3.14,210012447
2024-12-17,3.09,3.09,2.84,2.9,146467747
2024-12-18,2.9,2.93,2.82,2.84,73099238
2024-12-19,2.79,3.12,2.77,3.12,189844227
2024-12-20,3.12,3.16,2.98,2.98,218032014
2024-12-23,2.97,2.98,2.7,2.71,149410308
2024-12-24,2.71,2.78,2.65,2.71,72989003
2024-12-25,2.72,2.83,2.67,2.74,77353503
2024-12-26,2.71,2.75,2.68,2.7,52984700
2024-12-27,2.7,2.76,2.65,2.71,50818520
2024-12-30,2.63,2.64,2.5,2.53,78951800
2024-12-31,2.55,2.6,2.48,2.52,45441500
2025-01-02,2.52,2.56,2.42,2.43,46362600
2025-01-03,2.43,2.48,2.27,2.28,62256830
2025-01-06,2.28,2.3,2.15,2.16,60759600
2025-01-07,2.16,2.34,2.16,2.31,69526300
2025-01-08,2.31,2.32,2.2,2.3,46915521
2025-01-09,2.27,2.34,2.26,2.3,33071300
2025-01-10,2.3,2.31,2.2,2.22,32764000
2025-01-13,2.18,2.26,2.16,2.22,27914400
2025-01-14,2.23,2.32,2.22,2.31,38686800
2025-01-15,2.31,2.32,2.25,2.27,29990900
2025-01-16,2.29,2.37,2.28,2.32,43231500
2025-01-17,2.31,2.37,2.28,2.32,40771600
