date,open,high,low,close,volume
2024-05-24,194.1146844,196.08646078,192.19076667,192.37262954,15510693
2024-05-27,193.1575114,193.1575114,189.9988405,191.44417173,16361785
2024-05-28,190.91772658,191.98976034,189.1373848,189.3288194,12689994
2024-05-29,189.52982573,193.8275325,189.3288194,190.27642067,13338755
2024-05-30,190.52528565,192.27691224,189.19481518,190.81243755,12784004
2024-05-31,190.81243755,193.58823925,189.29053248,189.29053248,13808627
2024-06-03,189.29053248,194.8804228,187.4144734,193.8275325,18718068
2024-06-04,193.33937427,198.36453252,192.391773,197.14892281,17714939
2024-06-05,196.8904861,198.94840805,195.27286373,195.37815276,11777390
2024-06-06,195.24414854,198.01995024,193.5403806,196.01945867,12412570
2024-06-07,190.34342278,193.77967385,179.55608307,184.9258236,51686760
2024-06-11,180.905697,183.777216,176.70370753,180.68554721,42072363
2024-06-12,178.034178,181.63314848,177.53644804,177.6513088,20310392
2024-06-13,178.991351,181.87244173,177.19186576,177.24929614,22117637
2024-06-14,178.1298953,178.58933834,170.93195434,176.97171597,37184949
2024-06-17,174.73193115,182.3414565,174.50220963,180.1399586,26929318
2024-06-18,180.09209995,182.31274131,179.01049446,182.17873709,15652909
2024-06-19,182.4371738,182.5328911,179.64222864,180.91526873,10753975
2024-06-20,181.85329827,181.96815903,179.0870683,179.93895227,11562370
2024-06-21,180.24524763,180.86741008,174.55964001,177.23015268,18467717
2024-06-24,175.162659,179.93895227,175.162659,178.97220754,18035490
2024-06-25,178.991351,181.0971316,177.6513088,178.34047336,14414412
2024-06-26,177.19186576,178.63719699,175.3540936,177.56516323,10481398
2024-06-27,177.56516323,177.91931724,175.17223073,177.077005,12653577
2024-06-28,175.9283974,177.53644804,172.13799232,172.31985519,19420506
2024-07-01,171.51582987,171.60197544,163.83930241,168.52945011,26995744
2024-07-02,166.40452605,169.38133408,164.73904503,168.53902184,14415586
2024-07-03,169.419621,174.6840725,168.75917163,171.8125535,16205321
2024-07-04,172.66443747,175.15308727,171.5254016,171.9082708,11834646
2024-07-05,173.248313,174.67450077,168.9410345,170.01306826,13524707
2024-07-08,168.47201973,170.73094801,167.51484673,168.37630243,10806397
2024-07-09,167.7924269,169.7067729,165.67707457,168.24229821,16443915
2024-07-10,167.51484673,172.37728557,165.63878765,165.63878765,17772919
2024-07-11,167.505275,171.31482354,166.05994377,169.42919273,20811148
2024-07-12,170.23321805,173.98533621,169.419621,172.0997054,19550460
2024-07-15,170.6639459,172.24328135,169.52491003,170.49165476,11469696
2024-07-16,169.8982075,172.7697265,169.7067729,171.6211189,15148737
2024-07-17,170.376794,174.83722018,168.40501762,173.14302397,18590141
2024-07-18,172.29114,181.0014143,171.98484464,180.28353455,31994401
2024-07-19,178.36918855,181.94901557,178.2256126,181.32685312,20847631
2024-07-22,183.00190587,185.86385314,179.3742202,181.40342696,17168252
2024-07-23,180.91526873,181.5757181,178.2256126,178.2256126,11903104
2024-07-24,178.034178,180.99184257,177.45030247,178.34047336,14468136
2024-07-25,178.14903876,182.56160629,177.13443538,179.69008729,20595888
2024-07-26,181.86287,185.0215409,179.99638265,181.24070755,23347718
2024-07-29,178.991351,178.991351,172.29114,176.62713369,21362366
2024-07-30,175.37323706,177.39287209,175.37323706,176.97171597,12725163
2024-07-31,174.205486,178.87649024,174.205486,178.33090163,19896940
2024-08-01,177.077005,178.034178,172.3868573,172.5782919,23012659
2024-08-02,171.333967,172.29114,169.17075602,169.50576657,15493685
2024-08-05,167.51484673,172.47300287,167.505275,169.419621,19347659
2024-08-06,170.76923493,171.70726447,166.27052183,167.45741635,15768703
2024-08-07,167.45741635,168.68259779,166.23223491,166.23223491,12753959
2024-08-08,165.60050073,166.1652328,162.83427076,165.0166252,14658996
2024-08-09,166.1652328,167.38084251,162.71941,162.71941,15412989
2024-08-12,163.26499861,163.79144376,159.6564564,161.762237,17415581
2024-08-13,161.65694797,167.46698808,161.16878974,166.33752394,19389256
2024-08-14,165.58135727,166.97882985,164.36574756,164.83476233,9966285
2024-08-15,164.633756,167.1224058,163.95416317,165.9737982,14481202
2024-08-16,165.9737982,168.462448,165.47606824,166.18437626,11150641
2024-08-19,165.92593955,170.31936362,165.73450495,168.0795788,14035843
2024-08-20,167.505275,168.462448,166.22266318,167.38084251,8436955
2024-08-21,166.548102,167.89771593,164.633756,166.55767373,11147405
2024-08-22,167.48613154,172.26242481,166.8352539,171.1425324,19901136
2024-08-23,169.419621,174.70321596,169.419621,174.0140514,18415176
2024-08-26,174.1097687,176.65584888,173.248313,176.04325816,14838749
2024-08-27,174.70321596,176.58884677,173.7268995,175.6412455,9976992
2024-08-28,174.9712244,175.82310837,173.51632144,174.99036786,10639015
2024-08-29,171.49668641,175.15308727,171.49668641,173.0568784,15670242
2024-08-30,173.0568784,177.99589108,173.0568784,176.44527082,25429171
2024-09-02,176.54098812,177.64173707,173.248313,173.43017587,12985176
2024-09-03,172.5782919,178.7041991,172.31028346,177.69916745,18196886
