date,open,high,low,close,volume
2025-10-16,56.7473144,57.6327614,56.6784463,57.0818166,68147820
2025-10-17,57.06214,57.5343784,56.2455611,56.3537824,67749281
2025-10-20,57.3868039,57.6229231,56.5210335,56.963757,52669469
2025-10-21,56.9932719,57.9672636,56.9932719,57.1408464,76220049
2025-10-22,57.06214,57.554055,56.9932719,57.2687443,37989266
2025-10-23,57.2785826,57.9180721,57.1506847,57.8000125,50350104
2025-10-24,58.14,58.49,57.75,57.88,55824170
2025-10-27,58.0,58.39,57.5,57.75,68500438
2025-10-28,57.79,58.23,57.62,57.76,49130508
2025-10-29,58.6,59.7,58.49,58.95,104443161
2025-10-30,59.3,60.1,58.58,58.65,74571283
2025-10-31,58.99,58.99,57.8,57.83,57254154
2025-11-03,58.27,58.7,57.86,58.31,41143033
2025-11-04,58.35,59.13,58.2,58.94,51812600
2025-11-05,58.4,58.84,57.92,58.32,40215785
2025-11-06,58.35,59.28,58.34,58.9,54734599
2025-11-07,58.78,59.15,58.66,58.89,37191041
2025-11-10,58.85,59.4,58.44,59.3,52948721
2025-11-11,59.3,59.5,58.81,59.2,36250376
2025-11-12,59.3,60.79,59.3,60.03,149024584
2025-11-13,60.29,61.38,60.29,60.88,89018699
2025-11-14,60.85,62.27,60.65,60.65,75274101
2025-11-17,60.69,61.0,59.46,59.83,56019716
2025-11-18,59.67,60.15,59.48,59.62,44571218
2025-11-19,59.8,61.12,59.71,60.37,70586509
2025-11-20,60.6,61.15,60.03,60.2,39449064
2025-11-21,60.0,60.1,58.88,58.91,68557969
2025-11-24,59.16,59.2,58.35,58.4,53470919
2025-11-25,58.68,59.82,58.23,59.47,48777097
2025-11-26,59.66,60.22,59.32,59.78,43469273
2025-11-27,59.5,59.73,58.7,59.34,50570087
2025-11-28,59.21,59.29,58.51,58.99,43355814
2025-12-01,58.91,59.18,58.41,58.63,44580406
2025-12-02,58.8,59.4,58.45,58.8,37383734
2025-12-03,58.75,59.02,58.15,58.35,33549447
2025-12-04,58.35,58.55,58.21,58.55,21766366
2025-12-05,58.65,62.2,58.55,61.99,137794827
2025-12-08,62.04,63.8,62.0,63.4,102997868
2025-12-09,63.4,63.69,62.42,62.45,48373102
2025-12-10,62.66,63.06,62.13,62.55,44882218
2025-12-11,62.8,63.36,62.17,62.53,47796340
2025-12-12,62.56,64.09,62.41,63.91,109176025
2025-12-15,63.68,67.44,63.52,67.08,154664260
2025-12-16,66.71,68.11,66.16,67.0,105682134
2025-12-17,67.05,68.63,66.65,68.05,96211778
2025-12-18,67.88,68.58,67.59,68.5,56360590
2025-12-19,68.15,68.78,67.6,68.75,63847643
2025-12-22,68.7,69.27,68.2,68.54,55694201
2025-12-23,68.56,70.24,68.35,69.49,76571991
2025-12-24,69.17,69.38,68.35,69.03,51131950
2025-12-25,69.0,71.98,68.98,70.8,77789813
2025-12-26,70.44,71.96,70.43,71.16,65701677
2025-12-29,71.0,71.66,69.79,69.88,65566518
2025-12-30,69.75,70.23,68.39,68.8,104667372
2025-12-31,68.78,69.23,68.15,68.4,45806869
2026-01-05,69.2,73.0,69.2,72.36,122883100
2026-01-06,72.4,74.88,72.4,74.32,146851648
2026-01-07,73.89,74.7,73.29,73.45,91969506
2026-01-08,73.37,73.4,69.66,70.38,168539173
2026-01-09,70.6,71.28,68.24,69.0,206334825
2026-01-12,68.9,69.0,67.22,67.55,185166118
2026-01-13,67.8,69.98,67.78,68.2,150215050
2026-01-14,68.35,68.93,66.82,67.0,143110900
2026-01-15,66.9,68.38,66.69,67.41,106661426
2026-01-16,67.6,67.94,65.8,66.33,135609994
2026-01-19,66.28,66.95,65.91,66.3,83868106
2026-01-20,66.35,67.77,66.11,66.6,98849999
2026-01-21,66.64,67.18,65.65,65.85,93540213
2026-01-22,66.13,66.58,64.52,64.8,114392226
2026-01-23,65.2,65.48,63.66,63.9,140769883
2026-01-26,64.0,66.25,63.77,64.14,201384596
2026-01-27,64.31,66.35,64.27,65.31,150884105
2026-01-28,65.87,66.05,64.43,64.75,199285418
2026-01-29,65.03,68.03,64.53,68.0,275571332
2026-01-30,68.01,68.69,66.39,66.75,160322836
2026-02-02,66.35,68.33,65.73,66.02,135454854
2026-02-03,66.9,67.4,65.62,66.58,103322505
2026-02-04,66.45,67.45,66.23,67.4,87740307
2026-02-05,67.17,67.99,66.16,67.35,90819121
2026-02-06,66.88,67.61,66.42,66.9,74927488
2026-02-09,67.45,69.1,67.11,68.7,102123690
2026-02-10,68.71,68.8,67.8,68.19,54873478
2026-02-11,68.25,68.68,67.06,67.5,61803197
2026-02-12,67.6,67.68,66.35,66.54,64637155
2026-02-13,66.15,66.35,65.06,65.29,84077184
2026-02-24,65.77,66.25,64.37,64.5,80005314
2026-02-25,64.7,65.74,64.7,65.05,68355572
2026-02-26,65.5,65.53,63.29,63.5,103614642
2026-02-27,63.6,63.74,63.06,63.09,63301213
2026-03-02,62.41,63.11,61.7,62.35,101086184
2026-03-03,62.45,63.72,61.93,62.57,109553470
